7zip 26.00-1
evtest 1.36-1
eww 0.6.0-1
exempi 2.6.6-2
exiv2 0.28.7-1
exo 4.20.0-2
expac 10-12
expat 2.7.4-1
expect 5.45.4-5
faad2 2.11.2-1
fakeroot 1.37.2-1
fastfetch 2.59.0-1
fcft 3.3.3-1
ffcall 2.5-1
ffmpeg 2:8.0.1-7
ffmpeg4.4 4.4.6-4
ffnvcodec-headers 13.0.19.0-1
fftw 3.3.10-8
figma-linux-bin 0.11.5-0
file 5.46-5
filelight 25.12.2-1
filesystem 2025.10.12-1
findutils 4.10.0-3
firefox-developer-edition 148.0b15-1
firefox-nightly-bin 142.0a1.20250708.092136-1
firejail 0.9.78-1
flac 1.5.0-1
flashrom-git 1.6.0.48.gc09a2f53-1
flatpak 1:1.16.3-1
flex 2.6.4-5
fluidsynth 2.5.2-1
fmt 12.1.0-1
foliate 3.3.0-2
fontconfig 2:2.17.1-1
foot 1.25.0-1
frameworkintegration 6.23.0-1
freeglut 3.8.0-1
freepats-general-midi 20221026-2
freerdp2 2.11.7-5
freetube-bin 0.23.12-1
freetype2 2.14.1-2
frei0r-plugins 2.5.1-2
fribidi 1.0.16-2
fuse-common 3.18.1-1
fuse2 2.9.9-5
fuse3 3.18.1-1
fzf 0.68.0-1
gamemode 1.8.2-1
gamescope 3.16.20-1
garcon 4.20.0-2
gawk 5.3.2-1
gc 8.2.12-1
gcc 15.2.1+r604+g0b99615a8aef-1
gcc-ada 15.2.1+r604+g0b99615a8aef-1
gcc-d 15.2.1+r604+g0b99615a8aef-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gcc13 13.3.1+r432+gfc8bd63119c0-3
gcc13-libs 13.3.1+r432+gfc8bd63119c0-3
gcc14 14.3.1+r25+g42e99e057bd7-1
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.1-2
gdb-common 17.1-2
gdbm 1.26-2
gdk-pixbuf2 2.44.4-1
gettext 1.0-2
gexiv2 0.16.0-1
gfxstream 0.1.2-2
ghostscript 10.06.0-1
giflib 5.2.2-2
git 2.53.0-1
github-cli 2.87.2-1
gjs 2:1.86.0-1
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.86.4-1
glib2-devel 2.86.4-1
glib2-docs 2.86.4-1
glibc 2.43+r5+g856c426a7534-1
glibmm 2.66.8-1
glibmm-2.68 2.86.0-1
glm 1.0.3-1
glow 2.1.1-1
glslang 1:1.4.341.0-1
glu 9.0.3-3
glusterfs 1:11.2-2
glycin 2.0.8-1
