7zip 26.00-1
libtorrent 0.16.6-1
libtpms 0.10.2-1
libtraceevent 1:1.8.7-1
libtracefs 1.8.3-1
libtsan 15.2.1+r604+g0b99615a8aef-1
libubsan 15.2.1+r604+g0b99615a8aef-1
libunibreak 6.1-1
libunistring 1.4.1-1
libunrar 1:7.2.4-1
libunwind 1.8.2-1
liburcu 0.15.5-1
liburing 2.14-1
libusb 1.0.29-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.0-1
libva 2.22.0-1
libva-nvidia-driver 0.0.15-1
libvdpau 1.5-4
libverto 0.3.2-5
libvips 8.18.0-1
libvirt 1:12.0.0-2
libvirt-glib 5.0.0-3
libvirt-python 1:12.0.0-1
libvisio 0.1.10-3
libvlc 3.0.21-32
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.15.2-3
libvterm 0.3.3-2
libwacom 2.18.0-2
libwbclient 2:4.23.5-1
libwebp 1.6.0-2
libwireplumber 0.5.13-1
libwmf 0.2.13-4
libwnck3 43.3-1
libwpd 0.10.3-6
libwpg 0.3.4-3
libwps 0.4.14-4
libwslay 1.1.1-6
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcrypt-compat 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-1
libxdp 1.6.1-1
libxext 1.3.7-1
libxfce4ui 4.20.2-1
libxfce4util 4.20.1-1
libxfce4windowing 4.20.5-3
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxml2 2.15.1-5
libxmlb 0.3.25-1
libxmu 1.3.1-1
libxnvctrl 590.48.01-1
libxpm 3.5.18-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.26.4-1
links 2.30-1
linux 6.18.9.arch1-2
linux-api-headers 6.19-1
linux-firmware 20260110-1
linux-firmware-amdgpu 20260110-1
linux-firmware-atheros 20260110-1
linux-firmware-broadcom 20260110-1
linux-firmware-cirrus 20260110-1
linux-firmware-intel 20260110-1
linux-firmware-mediatek 20260110-1
linux-firmware-nvidia 20260110-1
linux-firmware-other 20260110-1
linux-firmware-radeon 20260110-1
linux-firmware-realtek 20260110-1
linux-firmware-whence 20260110-1
linux-headers 6.18.9.arch1-2
linux-zen-docs 6.18.9.zen1-2
lld 21.1.8-1
llhttp 9.3.1-1
llvm 21.1.8-1
llvm-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
localsearch 3.10.2-1
log4cplus 2.1.2-1
love 11.5-3
lowdown 2.0.4-1
lpsolve 5.5.2.11-3
lrzip 0.651-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lua-bit32 1:0.14-1
lua-language-server 3.17.1-1
lua-posix 36.3-1
lua-socket 1:3.1.0-1
lua51-lpeg 1.1.0-4
luajit 2.1.1767980792+707c12b-2
luarocks 3.13.0-1
lutris 0.5.20-1
lv2 1.18.10-2
lxc 1:6.0.5-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.21-1
mailcap 2.1.54-2
make 4.4.1-2
mako 1.10.0-1
man-db 2.13.1-1
mangohud 0.8.2-3
manifold 3.3.2-2
mariadb 12.2.2-2
mariadb-clients 12.2.2-2
mariadb-libs 12.2.2-2
materialx 1.39.4-3
mbedtls 3.6.5-1
mbedtls2 2.28.10-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mercurial 7.2-1
mesa 1:25.3.5-1
mesa-utils 9.0.0-7
meson 1.10.1-1
micro 2.0.15-2
milou 6.6.0-1
mindustry-bin 2:153-1
mingw-w64-binutils 2.45.1-1
mingw-w64-crt 13.0.0-1
mingw-w64-gcc 15.2.0-1
mingw-w64-headers 13.0.0-1
mingw-w64-winpthreads 13.0.0-1
miniupnpc 2.3.3-3
minizip 1:1.3.2-2
minizip-ng 4.1.0-1
mitmproxy 12.2.1-2
mkinitcpio 40-4
mkinitcpio-busybox 1.36.1-1
mlt 7.36.1-4
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.23.0-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.4-1
mpv 1:0.41.0-3
mpv-mpris 1.2-1
mpvpaper 1.8-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.8-1
multipath-tools 0.14.3-1
muparser 2.3.5-2
nanobind 2.11.0-1
nautilus 49.4-1
ncurses 6.6-1
ndctl 79-1
neatvnc 0.9.5-2
neon 0.36.0-1
neovim 0.11.6-1
net-snmp 5.9.5.2-1
net-tools 2.10-3
netavark 1.17.2-1
netpbm 10.86.48-1
netstandard-targeting-pack 1:2.1.0-2
nettle 3.10.2-1
networkmanager 1.54.3-1
networkmanager-openvpn 1.12.5-1
networkmanager-vpn-plugin-openvpn 1.12.5-1
nftables 1:1.1.6-2
nilfs-utils 2.2.15-1
ninja 1.13.2-3
nix 2.34.0-2
nix-busybox 1.36.1-2
nlohmann-json 3.12.0-2
nmap 7.98-5
node-gyp 12.2.0-1
nodejs 25.6.1-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2026.02.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
noto-fonts-extra 1:2026.02.01-1
npm 11.10.1-1
npth 1.8-1
nspr 4.38.2-1
nss 3.120.1-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
nvidia-container-toolkit 1.18.2-1
nvidia-open-dkms 590.48.01-4
nvidia-settings 590.48.01-1
nvidia-utils 590.48.01-4
nvtop 3.3.2-1
obs-cmd 0.19.2-1
obs-studio 32.0.4-1
ocean-sound-theme 6.6.0-1
ocl-icd 2.3.4-1
okular 25.12.2-1
ollama 0.16.3-1
ollama-cuda 0.16.3-1
onetbb 2022.3.0-4
oniguruma 6.9.10-1
openal 1.25.1-1
openbsd-netcat 1.234_1-1
opencl-headers 2:2025.07.22-1
opencl-nvidia 590.48.01-4
opencolorio 2.5.0-4
opencore-amr 0.1.6-2
openexr 3.4.4-1
openh264 2.6.0-2
openimagedenoise 2.3.3-3
openimageio 3.1.10.0-1
openjpeg2 2.5.4-1
openlinkhub 0.6.6-1
openntpd 6.8p1-10
openpgl 0.7.1-1
openrazer-daemon 3.11.0-3
openrazer-driver-dkms 3.11.0-3
openrgb-bin 0.9-3
openscenegraph 3.6.5-31
openshadinglanguage 1.15.1.0-1
openssh 10.2p1-2
openssl 3.6.1-1
openssl-1.1 1.1.1.w-2
opensubdiv 3.7.0-1
opentimelineio 0.18.1-2
openttd 15.2-1
openttd-discord-social-bin 1.0.0-1
openttd-opengfx 8.0-1
openttd-openmsx 0.4.2-1
openttd-opensfx 1.0.3-2
openvdb 12.1.1-3
openvpn 2.7.0-1
openxr 1.1.57-1
optipng 7.9.1-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
osinfo-db 20251212-1
ostree 2025.7-2
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-1
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260213-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parallel 20260122-1
partclone 0.3.45-1
parted 3.6-2
partimage 0.6.9-16
paru 2.1.0-2
paru-debug 2.1.0-2
passt 2026_01_20.386b5f5-1
patch 2.8-1
patool 4.0.2-1
pavucontrol 1:6.2-1
pbzip2 1.1.13-5
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
pear-desktop-bin 3.11.0-2
perl 5.42.0-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.33-9
phodav 3.0-4
phonon-qt6 4.12.0-5
phonon-qt6-vlc 0.12.0-5
pigz 2.8-2
pinentry 1.3.2-2
pipewire 1:1.4.10-2
pipewire-alsa 1:1.4.10-2
pipewire-audio 1:1.4.10-2
pipewire-jack 1:1.4.10-2
pipewire-pulse 1:1.4.10-2
pipewire-session-manager 1:1.4.10-2
pixman 0.46.4-1
pixz 1.0.7-5
pkcs11-helper 1.31.0-1
pkgconf 2.5.1-1
plasma-activities 6.6.0-1
plasma-activities-stats 6.6.0-1
plasma-desktop 6.6.0-1
plasma-integration 6.6.0-1
plasma-workspace 6.6.0-1
plasma5support 6.6.0-1
playerctl 2.4.1-5
plib 1.8.5-10
pnpm 10.28.2-1
podman 5.7.1-1
podofo 0.10.4-2
polkit 127-3
polkit-kde-agent 6.6.0-1
polkit-qt6 0.200.0-1
polychromatic 0.9.5-1
poppler 26.01.0-1
poppler-data 0.4.12-2
poppler-glib 26.01.0-1
poppler-qt6 26.01.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.8-1
portsmf 234-3
potrace 1.16-4
powerdevil 6.6.0-1
ppp 2.5.2-1
prismlauncher 10.0.5-1
prison 6.23.0-1
procps-ng 4.0.6-1
protobuf 33.1-3
proton-vpn-daemon 0.13.4-8
proton-vpn-gtk-app 4.14.1-2
protonplus 0.5.15-1
psmisc 23.7-1
psutils 3.3.14-2
ptex 2.5.1-1
publicsuffix-list 20240306.1440.9094af5-1
pugixml 1.15-3
pulseaudio-qt 1.7.0-2
purpose 6.23.0-1
pv 1.10.3-1
pybind11 3.0.2-1
pyside6 6.10.2-1
pystring 1.1.4-2
python 3.14.3-1
python-aaf2 1.7.1-4
python-absl 2.4.0-1
python-aiohappyeyeballs 2.6.1-4
python-aiohttp 3.13.3-1
python-aioquic 1.2.0-3
python-aiosignal 1.4.0-3
python-annotated-types 0.7.0-3
python-anyio 4.12.1-1
python-appdirs 1.4.4-12
python-apsw 3.51.2.0-1
python-argcomplete 3.6.2-2
python-argon2-cffi 25.1.0-2
python-argon2-cffi-bindings 25.1.0-2
python-asgiref 3.11.1-1
python-astor 0.8.1-10
python-astunparse 1.6.3-10
python-attrs 25.4.0-3
python-audioop-lts 0.2.2-2
python-autocommand 2.2.2-9
python-av 16.1.0-1
python-babel 2.17.0-3
python-backports.cached_property 1.0.2-1
python-bcc 0.36.1-1
python-bcrypt 5.0.0-2
python-beautifulsoup4 4.14.3-2
python-binaryornot 0.4.4-12
python-black 26.1.0-1
python-bleach 6.3.0-2
python-blinker 1.9.0-4
python-boolean.py 5.0-2
python-brotli 1.2.0-1
python-brotlicffi 1.2.0.0-2
python-bs4 0.0.2-3
python-build 1.4.0-1
python-cachecontrol 1:0.14.4-3
python-cachetools 7.0.1-1
python-cairo 1.29.0-2
python-cbor2 5.8.0-2
python-certifi 2026.01.04-1
python-cffi 2.0.0-2
python-chardet 5.2.0-7
python-charset-normalizer 3.4.4-2
python-click 8.3.1-1
python-cloup 3.0.8-1
python-colorama 0.4.6-6
python-colour 0.1.5-16
python-configobj 5.0.9-6
python-contourpy 1.3.3-3
python-coverage 7.13.4-1
python-cryptography 46.0.5-2
python-css-parser 1.0.10-4
python-cssselect 1.4.0-1
python-cycler 0.12.1-4
python-daemonize 2.5.0-9
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-dbus-fast 3.1.2-2
python-debian 1.0.1-2
python-decorator 5.2.1-2
python-deprecated 1.2.18-2
python-distlib 0.4.0-2
python-distro 1.9.0-4
python-dnspython 1:2.8.0-3
python-docutils 1:0.22.3-2
python-dulwich 0.25.2-1
python-editables 0.5-7
python-evdev 1.9.3-1
python-fastbencode 0.3.9-2
python-fastjsonschema 2.21.2-2
python-faust-cchardet 2.1.19-5
python-feedparser 6.0.12-2
python-fido2 2.1.1-1
python-filelock 3.24.0-1
python-flask 3.1.2-2
python-flatbuffers 25.12.19-2
python-flit 3.12.0-2
python-flit-core 3.12.0-4
python-fonttools 4.61.1-2
python-frozenlist 1.8.0-2
python-fvs 0.3.4-4
python-gast 0.7.0-2
python-gbinder 1.3.1-1
python-glcontext 3.0.0-1
python-gnupg 0.5.6-2
python-gobject 3.54.5-2
python-google-auth 2.48.0-1
python-google-auth-oauthlib 1.2.4-1
python-gpgme 2.0.0-2
python-grpcio 1.76.0-4
python-grpcio-tools 1.76.0-4
python-h11 0.16.0-2
python-h2 4.3.0-3
python-h5py 3.15.1-3
python-hatchling 1.28.0-3
python-hpack 4.1.0-3
python-html2text 2025.4.15-2
python-html5-parser 0.4.12-5
python-html5lib 1.1-17
python-httpcore 1.0.9-3
python-httplib2 0.31.2-1
python-httpx 0.28.1-7
python-hyperframe 6.1.0-2
python-hypothesis 6.151.6-1
python-idna 3.11-2
python-ifaddr 0.2.0-7
python-imagesize 1.4.1-7
python-importlib-metadata 8.7.1-3
python-inflate64 1.0.4-2
python-iniconfig 2.1.0-3
python-inquirerpy 0.3.4-6
python-installer 0.7.0-14
python-isosurfaces 0.1.2-1
python-itsdangerous 2.2.0-2
python-jaconv 0.5.0-1
python-jaraco.classes 3.4.0-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.0.1-3
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jeepney 0.9.0-3
python-jinja 1:3.1.6-3
python-kaitaistruct 0.11-2
python-keras 3.13.2-1
python-keyring 25.7.0-3
python-kiwisolver 1.4.7-2
python-lark-parser 1.3.1-2
python-ldap3 2.9.1-9
python-legacy-cgi 2.6.4-2
python-license-expression 30.4.4-2
python-lockfile 0.12.2-15
python-lxml 6.0.2-2
python-lxml-html-clean 0.4.3-2
python-manimpango 0.6.0-3
python-mapbox-earcut 1.0.3-3
python-markdown 3.10.2-1
python-markdown-it-py 4.0.0-2
python-markupsafe 3.0.2-2
python-matplotlib 3.10.8-4
python-mdurl 0.1.2-9
python-mechanize 1:0.4.10-3
python-merge3 0.0.16-2
python-mitmproxy-rs 0.12.9-1
python-ml-dtypes 0.5.4-2
python-moddb 0.14.0-2
python-moderngl 5.12.0-1
python-more-itertools 10.8.0-2
python-msgpack 1.1.2-2
python-multidict 6.7.1-1
python-multipledispatch 1.0.0-4
python-multivolumefile 0.2.3-10
python-mypy_extensions 1.1.0-2
python-netifaces 0.11.0-8
python-networkx 3.6.1-1
python-numpy 2.4.2-1
python-oauth2client 4.1.3-12
python-oauthlib 3.3.1-2
python-opengl 3.1.10-3
python-openrazer 3.11.0-3
python-opt_einsum 3.4.0-2
python-optree 0.18.0-2
python-orjson 3.11.7-1
python-packaging 26.0-1
python-pandas 2.3.3-2
python-passlib 1.7.4-11
python-pasta 0.2.0-10
python-pathspec 1.0.4-1
python-pathvalidate 3.3.1-1
python-patiencediff 0.2.18-2
python-pdftotext 2.2.2-11
python-pefile 2024.8.26-2
python-pfzy 0.3.4-2
python-pillow 12.1.1-1
python-pip 26.0.1-1
python-pipx 1.8.0-2
python-pkg_resources 81.0.0-1
python-platformdirs 4.9.2-1
python-pluggy 1.6.0-3
python-plyer 2.1.0-1
python-poetry-core 2.3.1-1
python-pooch 1.9.0-1
python-prompt_toolkit 3.0.52-2
python-propcache 0.4.1-2
python-protobuf 33.1-3
python-proton-core 0.7.0-3
python-proton-keyring-linux 0.2.1-4
python-proton-vpn-api-core 4.14.3-1
python-proton-vpn-local-agent 1.6.0-3
python-psutil 7.2.2-1
python-publicsuffix2 2.20191221-10
python-puremagic 2.0.0-1
python-py7zr 1.1.2-1
python-pyasn1 0.6.1-2
python-pyasn1-modules 0.4.2-2
python-pyaudio 0.2.14-5
python-pybcj 1.0.7-2
python-pychm 0.8.6-11
python-pycodestyle 2.14.0-2
python-pycparser 2.23-2
python-pycryptodome 3.23.0-2
python-pycryptodomex 3.23.0-2
python-pycurl 7.45.7-3
python-pydantic 2.12.5-4
python-pydantic-core 3:2.41.5-3
python-pydot 3.0.4-2
python-pydub 0.25.1-8
python-pyglet 2.1.9-1
python-pygments 2.19.2-3
python-pykakasi 2.3.0-3
python-pylsqpack 0.3.18-4
python-pynacl 1.6.2-1
python-pyopenssl 25.3.0-2
python-pyparsing 3.3.2-1
python-pypdf 6.7.1-1
python-pyperclip 1.11.0-2
python-pyppmd 1.2.0-2
python-pypresence 4.6.1-3
python-pyproject-hooks 1.2.0-6
python-pyqt5 5.15.11-5
python-pyqt5-sip 12.18.0-1
python-pyqt6 6.10.2-3
python-pyqt6-sip 13.11.0-1
python-pyqt6-webengine 6.10.0-2
python-pyrr 0.10.3-1
python-pyserial 3.5-8
python-pysocks 1.7.1-11
python-pytest 1:8.4.2-3
python-pytest-cov 6.1.1-2
python-pytokens 0.4.1-1
python-pytz 2025.2-2
python-pyudev 0.24.4-1
python-pywavefront 1.3.3-1
python-pyzstd 0.19.1-3
python-rapidfuzz 3.14.3-2
python-regex 2026.2.19-1
python-requests 2.32.5-3
python-requests-oauthlib 2.0.0-1
python-rich 14.3.3-1
python-roman-numerals-py 3.1.0-2
python-rsa 4.9.1-2
python-ruamel-yaml 0.18.10-2
python-ruamel.yaml.clib 0.2.15-2
python-scikit-build-core 0.11.6-2
python-scipy 1.17.0-1
python-screeninfo 0.8.1-2
python-secretstorage 3.3.3-7
python-sentry_sdk 2.53.0-1
python-service-identity 24.2.0-3
python-setproctitle 1.3.7-2
python-setuptools 1:82.0.0-1
python-setuptools-reproducible 0.1-1
python-setuptools-scm 9.2.2-3
python-sgmllib3k 1.0.0-8
python-six 1.17.0-2
python-skia-pathops 0.8.0.post2-3
python-snowballstemmer 2.2.0-8
python-sortedcontainers 2.4.0-8
python-soupsieve 2.8.3-1
python-sphinx 8.2.3-4
python-sphinx-alabaster-theme 1.0.0-6
python-sphinxcontrib-applehelp 2.0.0-5
python-sphinxcontrib-devhelp 2.0.0-6
python-sphinxcontrib-htmlhelp 2.1.0-5
python-sphinxcontrib-jsmath 1.0.1-21
python-sphinxcontrib-qthelp 2.0.0-5
python-sphinxcontrib-serializinghtml 2.0.0-5
python-srt 3.5.3-3
python-standard-cgi 3.13.0-4
python-steamgriddb 1.0.5-4
python-svgelements 1.9.6-2
python-tensorboard_plugin_wit 1.8.1-11
python-tensorflow 2.20.0-5
python-tensorflow-estimator 2.15.0-2
python-termcolor 3.3.0-1
python-texttable 1.7.0-4
python-thefuzz 0.22.1-3
python-tinycss2 1.5.1-2
python-tomli-w 1.2.0-2
python-tomlkit 0.14.0-1
python-tornado 6.5.2-4
python-tqdm 4.67.3-1
python-trimesh 4.9.0-1
python-trove-classifiers 2026.1.14.14-1
python-typing-inspection 0.4.2-2
python-typing_extensions 4.15.0-3
python-tzlocal 1:5.3.1-2
python-uinput 1.0.1-2
python-unrardll 0.1.7-5
python-urllib3 2.6.3-1
python-urwid 3.0.5-1
python-userpath 1.9.2-4
python-virtualenv 20.36.1-1
python-watchdog 6.0.0-2
python-wcwidth 0.6.0-1
python-webencodings 0.5.1-13
python-werkzeug 3.1.3-2
python-wheel 0.46.3-1
python-wrapt 1.17.3-2
python-wsproto 1.2.0-7
python-xlib 0.33-6
python-xxhash 3.6.0-2
python-yaml 6.0.3-2
python-yarl 1.23.0-1
python-zeroconf 0.148.0-2
python-zipp 3.21.0-4
python-zstandard 0.25.0-2
qca-qt6 2.3.10-4
qcoro 0.13.0-1
qemu-audio-alsa 10.2.0-3
qemu-audio-dbus 10.2.0-3
qemu-audio-jack 10.2.0-3
qemu-audio-oss 10.2.0-3
qemu-audio-pa 10.2.0-3
qemu-audio-pipewire 10.2.0-3
qemu-audio-sdl 10.2.0-3
qemu-audio-spice 10.2.0-3
qemu-base 10.2.0-3
qemu-block-curl 10.2.0-3
qemu-block-dmg 10.2.0-3
qemu-block-gluster 10.2.0-3
qemu-block-iscsi 10.2.0-3
qemu-block-nfs 10.2.0-3
qemu-block-ssh 10.2.0-3
qemu-chardev-baum 10.2.0-3
qemu-chardev-spice 10.2.0-3
qemu-common 10.2.0-3
qemu-desktop 10.2.0-3
qemu-docs 10.2.0-3
qemu-emulators-full 10.2.0-3
qemu-full 10.2.0-3
qemu-hw-display-qxl 10.2.0-3
qemu-hw-display-virtio-gpu 10.2.0-3
qemu-hw-display-virtio-gpu-gl 10.2.0-3
qemu-hw-display-virtio-gpu-pci 10.2.0-3
qemu-hw-display-virtio-gpu-pci-gl 10.2.0-3
qemu-hw-display-virtio-gpu-pci-rutabaga 10.2.0-3
qemu-hw-display-virtio-gpu-rutabaga 10.2.0-3
qemu-hw-display-virtio-vga 10.2.0-3
qemu-hw-display-virtio-vga-gl 10.2.0-3
qemu-hw-display-virtio-vga-rutabaga 10.2.0-3
qemu-hw-s390x-virtio-gpu-ccw 10.2.0-3
qemu-hw-uefi-vars 10.2.0-3
qemu-hw-usb-host 10.2.0-3
qemu-hw-usb-redirect 10.2.0-3
qemu-hw-usb-smartcard 10.2.0-3
qemu-img 10.2.0-3
qemu-pr-helper 10.2.0-3
qemu-system-aarch64 10.2.0-3
qemu-system-alpha 10.2.0-3
qemu-system-alpha-firmware 10.2.0-3
qemu-system-arm 10.2.0-3
qemu-system-arm-firmware 10.2.0-3
qemu-system-avr 10.2.0-3
qemu-system-hppa 10.2.0-3
qemu-system-hppa-firmware 10.2.0-3
qemu-system-loongarch64 10.2.0-3
qemu-system-m68k 10.2.0-3
qemu-system-microblaze 10.2.0-3
qemu-system-microblaze-firmware 10.2.0-3
qemu-system-mips 10.2.0-3
qemu-system-or1k 10.2.0-3
qemu-system-ppc 10.2.0-3
qemu-system-ppc-firmware 10.2.0-3
qemu-system-riscv 10.2.0-3
qemu-system-riscv-firmware 10.2.0-3
qemu-system-rx 10.2.0-3
qemu-system-s390x 10.2.0-3
qemu-system-s390x-firmware 10.2.0-3
qemu-system-sh4 10.2.0-3
qemu-system-sparc 10.2.0-3
qemu-system-sparc-firmware 10.2.0-3
qemu-system-tricore 10.2.0-3
qemu-system-x86 10.2.0-3
qemu-system-x86-firmware 10.2.0-3
qemu-system-xtensa 10.2.0-3
qemu-tests 10.2.0-3
qemu-tools 10.2.0-3
qemu-ui-curses 10.2.0-3
qemu-ui-dbus 10.2.0-3
qemu-ui-egl-headless 10.2.0-3
qemu-ui-gtk 10.2.0-3
qemu-ui-opengl 10.2.0-3
qemu-ui-sdl 10.2.0-3
qemu-ui-spice-app 10.2.0-3
qemu-ui-spice-core 10.2.0-3
qemu-user 10.2.0-3
qemu-vhost-user-gpu 10.2.0-3
qemu-vmsr-helper 10.2.0-3
qhull 2020.2-5
qpdf 12.3.2-2
qqc2-breeze-style 6.6.0-1
qqc2-desktop-style 6.23.0-2
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-location 5.15.18+kde+r7-2
qt5-quickcontrols 5.15.18-1
qt5-svg 5.15.18+kde+r5-1
qt5-tools 5.15.18+kde+r3-1
qt5-translations 5.15.18-1
qt5-wayland 5.15.18+kde+r55-1
qt5-webchannel 5.15.18+kde+r3-1
qt5-webengine 5.15.19-4
qt5-x11extras 5.15.18-1
qt6-5compat 6.10.2-1
qt6-base 6.10.2-1
qt6-connectivity 6.10.2-1
qt6-declarative 6.10.2-1
qt6-imageformats 6.10.2-1
qt6-location 6.10.2-1
qt6-multimedia 6.10.2-1
qt6-multimedia-ffmpeg 6.10.2-1
qt6-networkauth 6.10.2-1
qt6-positioning 6.10.2-1
qt6-scxml 6.10.2-1
qt6-sensors 6.10.2-1
qt6-shadertools 6.10.2-1
qt6-speech 6.10.2-1
qt6-svg 6.10.2-1
qt6-tools 6.10.2-1
qt6-translations 6.10.2-1
qt6-virtualkeyboard 6.10.2-1
qt6-wayland 6.10.2-1
qt6-webchannel 6.10.2-1
qt6-webengine 6.10.2-1
qt6-websockets 6.10.2-1
quazip-qt5 1.5-1
quazip-qt6 1.5-1
quilt 0.69-1
quota-tools 1:4.11-1
qutebrowser 3.6.3-2
ragel 6.10-4
raptor 2.0.16-9
rasqal 1:0.9.33-7
rav1e 0.8.1-2
razergenie 1.3.0-1
rdma-core 61.0-1
re2 2:2025.11.05-1
readest 0.9.100-1
readline 8.3.003-1
redland 1:1.0.17-9
reuse 6.2.0-2
rhash 1.4.6-1
ripgrep 15.1.0-2
ripgrep-all 0.10.10-1
rnnoise 1:0.2-1
rojo 7.6.1-1
rpcbind 1.2.8-1
rqbit 8.1.1-2
rqbit-desktop 8.1.1-2
rsync 3.4.1-2
rtkit 0.14-1
rubberband 4.0.0-1
runc 1.4.0-1
rust-analyzer 20260202-1
rustdesk-bin 1.4.4-1
rustup 1.28.2-4
rutabaga-ffi 0.1.75-1
s2n-tls 1.7.0-1
samba 2:4.23.5-1
sane 1.4.0-4
sbc 2.2-1
scdoc 1.11.4-1
scour 0.38.2-6
scrcpy 3.3.4-1
screen 5.0.1-3
sdbus-cpp 2.2.1-1
sddm 0.21.0-6
sdl12-compat 1.2.68-2
sdl2-compat 2.32.64-1
sdl2_image 2.8.8-1
sdl3 3.4.0-4
seabios 1.17.0-2
seatd 0.9.2-1
sed 4.9-3
semver 7.7.4-1
serd 0.32.8-1
serf 1.3.10-2
shaderc 2026.1-1
shadow 4.18.0-1
shared-mime-info 2.4-3
shiboken6 6.10.2-1
signal-desktop 7.90.0-1
signon-kwallet-extension 25.12.2-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
simde 0.8.2-1
simdjson 1:4.2.4-2
simple-http-server-bin 0.6.9-1
slang 2.3.3-4
slurp 1.5.0-1
smbclient 2:4.23.5-1
snappy 1.2.2-3
sndio 1.10.0-1
solid 6.23.0-1
sonnet 6.23.0-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
source-highlight 3.1.9-16
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.341.0-1
splix 2.0.1-2
sqlite 3.51.2-1
sratom 0.6.22-1
srt 1.5.4-1
sshfs 3.7.3-3
startup-notification 0.12-9
steam 1.0.0.85-3
steam-devices 1.0.0.85-3
strace 6.19-1
subversion 1.14.5-5
sudo 1.9.17.p2-2
suil 0.10.24-1
svt-av1 4.0.1-1
syncthing 2.0.14-1
syncthing-gtk 0.9.4.5-1
syndication 6.23.0-1
syntax-highlighting 6.23.0-1
systemd 259.1-1
systemd-libs 259.1-1
systemd-sysvcompat 259.1-1
systemsettings 6.6.0-1
t1utils 1.42-3
taglib 2.2-1
talloc 2.4.4-1
tar 1.35-2
tauri-cli 2.8.4-1
tcl 8.6.16-1
tcpdump 4.99.6-1
tdb 1.4.15-1
teamviewer 15.71.4-1
telepathy-glib 0.24.2-5
tensorboard 2.20.0-2
tensorflow 2.20.0-5
tevent 1:0.17.1-2
texinfo 7.2-1
texlive-basic 2025.2-3
texlive-bin 2025.2-3
texlive-fontsextra 2025.2-3
texlive-latex 2025.2-3
texlive-latexextra 2025.2-3
texlive-latexrecommended 2025.2-3
texlive-pictures 2025.2-3
theclicker 0.2.2-1
threadweaver 6.23.0-1
thunar 4.20.7-1
timidity++ 2.15.0-12
tinysparql 3.10.1-2
tk 8.6.16-1
tmux 3.6_a-1
tomlplusplus 3.4.0-1
toolbox 0.3-1
tor 0.4.9.5-1
